iter	Passed	Remaining
0	1	108
1	1	96
2	2	91
3	3	84
4	4	82
5	5	82
6	6	80
7	6	79
8	7	78
9	8	76
10	9	74
11	10	73
12	10	71
13	11	70
14	12	69
15	13	69
16	13	68
17	14	66
18	15	65
19	16	64
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	34	46
42	34	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
