iter	Passed	Remaining
0	0	800
1	1	789
2	2	724
3	2	693
4	3	675
5	4	662
6	4	661
7	5	652
8	5	643
9	6	645
10	7	643
11	7	643
12	8	640
13	9	638
14	9	632
15	10	628
16	10	624
17	11	620
18	11	618
19	12	616
20	13	612
21	13	610
22	14	607
23	15	610
24	15	609
25	16	606
26	16	604
27	17	602
28	17	601
29	18	600
30	19	600
31	19	599
32	20	600
33	21	598
34	21	597
35	22	595
36	22	594
37	23	593
38	24	592
39	24	591
40	25	591
41	25	590
42	26	588
43	27	586
44	27	585
45	28	584
46	28	584
47	29	583
48	29	582
49	30	580
50	31	579
51	31	578
52	32	576
53	32	575
54	33	575
55	34	575
56	34	576
57	35	576
58	36	575
59	36	574
60	37	574
61	37	573
62	38	573
63	39	572
64	39	571
65	40	570
66	40	570
67	41	570
68	42	569
69	42	569
70	44	575
71	44	575
72	45	575
73	45	574
74	46	573
75	47	573
76	47	573
77	48	572
78	49	572
79	49	571
80	50	570
81	50	569
82	51	565
83	51	564
84	52	563
85	52	562
86	53	561
87	54	560
88	54	559
89	55	558
90	55	557
91	56	556
92	57	556
93	57	556
94	58	556
95	59	560
96	60	560
97	60	561
98	61	560
99	62	562
100	63	561
101	63	562
102	64	562
103	65	562
104	65	562
105	66	561
106	67	562
107	68	562
108	68	562
109	69	561
110	69	559
111	70	558
112	71	558
113	71	557
114	72	556
115	72	556
116	73	554
117	74	554
118	74	553
119	75	552
120	75	551
121	76	550
122	77	549
123	77	549
124	78	548
125	79	548
126	79	547
127	80	546
128	80	546
129	81	545
130	82	544
131	82	543
132	83	541
133	83	540
134	84	539
135	84	538
136	85	537
137	85	536
138	86	535
139	87	535
140	87	534
141	88	532
142	88	530
143	89	529
144	89	528
145	90	527
146	90	526
147	91	525
148	91	524
149	92	523
150	93	522
151	93	522
152	94	521
153	94	520
154	95	519
155	95	519
156	96	517
157	97	517
158	97	516
159	98	515
160	98	513
161	99	513
162	99	512
163	100	511
164	100	510
165	101	509
166	102	508
167	102	507
168	103	506
169	103	505
170	104	505
171	104	503
172	105	503
173	105	502
174	106	501
175	106	500
176	107	499
177	108	498
178	108	498
179	109	497
180	109	496
181	110	495
182	110	494
183	111	493
184	111	491
185	112	490
186	112	489
187	113	489
188	113	488
189	114	487
190	114	486
191	115	485
192	115	484
193	116	483
194	116	482
195	117	481
196	117	480
197	118	479
198	118	478
199	119	477
200	119	476
201	120	475
202	120	474
203	121	473
204	121	473
205	122	472
206	123	471
207	123	470
208	124	469
209	124	468
210	125	468
211	125	467
212	126	466
213	126	465
214	127	464
215	127	463
216	128	462
217	128	461
218	129	460
219	129	460
220	130	459
221	130	458
222	131	457
223	131	456
224	132	455
225	132	454
226	133	453
227	133	452
228	134	451
229	134	451
230	135	450
231	135	449
232	136	448
233	136	448
234	137	447
235	138	446
236	138	446
237	139	445
238	139	444
239	139	443
240	140	442
241	140	441
242	141	440
243	141	439
244	142	438
245	142	437
246	143	436
247	143	436
248	144	435
249	144	434
250	145	433
251	145	432
252	146	431
253	146	430
254	147	429
255	147	428
256	148	428
257	148	427
258	149	426
259	149	425
260	150	424
261	150	423
262	151	423
263	151	422
264	152	421
265	152	421
266	153	420
267	153	420
268	154	419
269	154	418
270	155	418
271	155	417
272	156	416
273	156	415
274	157	415
275	158	414
276	158	413
277	158	412
278	159	412
279	160	411
280	160	410
281	160	409
282	161	409
283	161	408
284	162	407
285	162	406
286	163	405
287	163	405
288	164	404
289	164	403
290	165	402
291	165	401
292	166	401
293	166	400
294	167	399
295	167	399
296	168	398
297	169	398
298	169	397
299	170	397
300	170	396
301	171	396
302	171	395
303	172	394
304	172	394
305	173	393
306	174	393
307	174	393
308	175	392
309	176	391
310	176	391
311	177	391
312	178	391
313	179	391
314	179	390
315	180	389
316	180	389
317	181	389
318	181	388
319	182	387
320	183	387
321	183	386
322	184	386
323	184	385
324	185	384
325	185	384
326	186	383
327	186	383
328	187	382
329	188	381
330	188	381
331	189	380
332	189	379
333	190	379
334	190	378
335	191	377
336	191	377
337	192	376
338	192	375
339	193	374
340	193	374
341	194	373
342	194	372
343	195	372
344	195	371
345	196	371
346	196	370
347	197	370
348	198	369
349	198	368
350	198	367
351	199	367
352	199	366
353	200	365
354	200	365
355	201	364
356	201	363
357	202	362
358	202	362
359	203	361
360	203	360
361	204	360
362	204	359
363	205	358
364	205	358
365	206	357
366	206	356
367	207	356
368	207	355
369	208	354
370	208	354
371	209	353
372	209	352
373	210	352
374	211	351
375	211	351
376	212	350
377	212	349
378	213	349
379	213	348
380	214	347
381	214	347
382	214	346
383	215	345
384	215	344
385	216	344
386	216	343
387	217	342
388	217	342
389	218	341
390	218	340
391	219	340
392	219	339
393	220	338
394	220	338
395	221	337
396	221	336
397	222	336
398	222	335
399	223	334
400	223	334
401	224	333
402	224	333
403	225	332
404	225	331
405	226	331
406	226	330
407	227	329
408	227	329
409	228	328
410	228	327
411	229	327
412	229	326
413	230	325
414	230	325
415	231	324
416	231	323
417	232	323
418	232	322
419	233	322
420	233	321
421	234	320
422	234	320
423	235	319
424	235	318
425	236	318
426	236	317
427	237	316
428	237	316
429	237	315
430	238	314
431	239	314
432	239	314
433	240	313
434	240	313
435	241	312
436	242	311
437	242	311
438	243	310
439	243	310
440	244	309
441	244	308
442	245	308
443	245	307
444	246	306
445	246	306
446	247	305
447	247	305
448	248	304
449	248	304
450	249	303
451	249	303
452	250	302
453	251	301
454	251	301
455	252	300
456	252	300
457	253	299
458	254	299
459	254	298
460	255	298
461	255	297
462	256	297
463	256	296
464	257	296
465	258	295
466	258	295
467	259	295
468	260	295
469	261	294
470	262	294
471	263	295
472	264	295
473	265	294
474	266	294
475	266	293
476	267	293
477	267	292
478	268	292
479	269	291
480	269	291
481	270	290
482	271	290
483	271	289
484	272	289
485	273	289
486	274	288
487	274	288
488	275	288
489	276	287
490	277	287
491	277	287
492	278	286
493	279	286
494	280	285
495	280	285
496	281	285
497	282	284
498	282	284
499	283	283
500	284	283
501	285	282
502	285	282
503	286	282
504	287	281
505	287	280
506	288	280
507	289	280
508	290	280
509	291	280
510	292	279
511	293	279
512	293	279
513	294	278
514	295	278
515	296	277
516	297	277
517	299	278
518	300	278
519	300	277
520	301	277
521	302	276
522	302	276
523	303	275
524	305	276
525	306	276
526	308	277
527	310	277
528	311	277
529	312	276
530	313	276
531	313	275
532	314	275
533	315	275
534	316	274
535	316	274
536	317	273
537	318	273
538	319	273
539	320	272
540	320	272
541	321	271
542	322	271
543	323	271
544	323	270
545	324	269
546	325	269
547	326	268
548	327	268
549	327	268
550	328	267
551	329	267
552	330	266
553	330	266
554	331	265
555	332	265
556	333	264
557	334	264
558	335	264
559	336	264
560	337	264
561	338	263
562	339	263
563	340	262
564	340	262
565	341	261
566	342	261
567	343	260
568	343	260
569	344	260
570	345	259
571	346	259
572	346	258
573	347	258
574	348	257
575	349	256
576	349	256
577	350	256
578	351	255
579	352	254
580	352	254
581	353	253
582	354	253
583	354	252
584	355	252
585	357	252
586	358	251
587	359	251
588	360	251
589	361	251
590	362	250
591	363	250
592	365	250
593	366	250
594	367	250
595	369	250
596	370	249
597	370	249
598	371	248
599	372	248
600	373	247
601	374	247
602	374	246
603	375	246
604	376	245
605	377	245
606	377	244
607	378	244
608	379	243
609	381	243
610	382	243
611	383	242
612	384	242
613	385	242
614	386	241
615	387	241
616	388	241
617	389	240
618	390	240
619	390	239
620	391	238
621	392	238
622	393	238
623	394	237
624	395	237
625	396	236
626	396	236
627	397	235
628	398	235
629	399	234
630	400	234
631	400	233
632	401	232
633	402	232
634	402	231
635	403	230
636	404	230
637	404	229
638	405	229
639	406	228
640	407	227
641	408	227
642	408	227
643	409	226
644	411	226
645	411	225
646	412	225
647	413	224
648	414	224
649	415	223
650	415	222
651	416	222
652	417	222
653	418	221
654	419	220
655	419	220
656	420	219
657	421	219
658	422	218
659	423	218
660	423	217
661	424	216
662	425	216
663	426	215
664	426	215
665	427	214
666	428	213
667	428	213
668	429	212
669	429	211
670	430	211
671	431	210
672	431	209
673	432	209
674	433	208
675	433	207
676	434	207
677	435	206
678	435	205
679	436	205
680	437	204
681	437	204
682	438	203
683	438	202
684	439	202
685	440	201
686	440	200
687	441	200
688	442	199
689	442	198
690	443	198
691	444	197
692	444	197
693	445	196
694	446	195
695	447	195
696	447	194
697	448	194
698	449	193
699	449	192
700	450	192
701	450	191
702	451	190
703	452	190
704	452	189
705	453	188
706	453	188
707	454	187
708	455	186
709	455	186
710	456	185
711	456	184
712	457	184
713	457	183
714	458	182
715	459	182
716	459	181
717	460	180
718	461	180
719	461	179
720	462	178
721	462	178
722	463	177
723	464	177
724	465	176
725	465	175
726	466	175
727	466	174
728	467	173
729	468	173
730	469	172
731	469	172
732	470	171
733	471	170
734	472	170
735	472	169
736	473	168
737	474	168
738	474	167
739	475	166
740	475	166
741	476	165
742	477	165
743	477	164
744	478	163
745	478	163
746	479	162
747	480	161
748	481	161
749	481	160
750	482	160
751	483	159
752	484	158
753	484	158
754	485	157
755	485	156
756	486	156
757	487	155
758	487	154
759	488	154
760	489	153
761	489	152
762	490	152
763	491	151
764	492	151
765	492	150
766	493	149
767	494	149
768	494	148
769	495	148
770	496	147
771	496	146
772	497	146
773	498	145
774	498	144
775	499	144
776	500	143
777	500	142
778	501	142
779	502	141
780	502	141
781	503	140
782	504	139
783	504	139
784	505	138
785	506	137
786	507	137
787	508	136
788	508	136
789	509	135
790	510	134
791	510	134
792	511	133
793	512	132
794	512	132
795	513	131
796	514	130
797	514	130
798	515	129
799	516	129
800	516	128
801	517	127
802	518	127
803	519	126
804	519	125
805	521	125
806	522	124
807	523	124
808	523	123
809	524	123
810	525	122
811	526	121
812	527	121
813	527	120
814	528	119
815	529	119
816	530	118
817	530	118
818	531	117
819	532	116
820	532	116
821	533	115
822	533	114
823	534	114
824	535	113
825	536	112
826	536	112
827	537	111
828	538	111
829	539	110
830	540	109
831	540	109
832	541	108
833	542	107
834	542	107
835	543	106
836	543	105
837	544	105
838	545	104
839	545	103
840	546	103
841	547	102
842	547	102
843	548	101
844	549	100
845	549	100
846	550	99
847	551	98
848	551	98
849	552	97
850	552	96
851	553	96
852	553	95
853	554	94
854	555	94
855	555	93
856	556	92
857	556	92
858	557	91
859	557	90
860	558	90
861	558	89
862	559	88
863	559	88
864	560	87
865	560	86
866	561	86
867	561	85
868	562	84
869	562	84
870	563	83
871	563	82
872	564	82
873	564	81
874	565	80
875	566	80
876	566	79
877	567	78
878	567	78
879	568	77
880	568	76
881	569	76
882	569	75
883	570	74
884	571	74
885	571	73
886	572	72
887	572	72
888	573	71
889	573	70
890	574	70
891	574	69
892	575	68
893	575	68
894	576	67
895	576	66
896	577	66
897	577	65
898	578	64
899	578	64
900	579	63
901	579	62
902	580	62
903	580	61
904	581	61
905	581	60
